signal_id;time;signal;open;high;low;close;fast_ma;slow_ma
"";"27.10.2025 16:07:00";"NO SIGNAL";"0,6764";"0,6767";"0,6761";"0,6767";"0,676500022";"0,676012516"
"";"27.10.2025 16:08:00";"NO SIGNAL";"0,6767";"0,6783";"0,6767";"0,6778";"0,676966667";"0,676349938"
"";"27.10.2025 16:09:00";"NO SIGNAL";"0,6778";"0,6781";"0,6772";"0,6780";"0,67749995";"0,676612496"
"";"27.10.2025 16:10:00";"NO SIGNAL";"0,6781";"0,6782";"0,6772";"0,6772";"0,677666664";"0,676825047"
"";"27.10.2025 16:11:00";"NO SIGNAL";"0,6773";"0,6777";"0,6770";"0,6772";"0,67746675";"0,676962554"
"";"27.10.2025 16:12:00";"NO SIGNAL";"0,6773";"0,6776";"0,6772";"0,6773";"0,677233398";"0,677125037"
"";"27.10.2025 16:13:00";"NO SIGNAL";"0,6774";"0,6774";"0,6770";"0,6772";"0,677233398";"0,677225053"
"1";"27.10.2025 16:14:00";"SELL";"0,6771";"0,6775";"0,6770";"0,6773";"0,677266717";"0,677337587"
"";"27.10.2025 16:15:00";"NO SIGNAL";"0,6772";"0,6776";"0,6768";"0,6770";"0,6771667";"0,677375019"
"";"27.10.2025 16:16:00";"NO SIGNAL";"0,6769";"0,6775";"0,6761";"0,6775";"0,677266717";"0,677337468"
"2";"27.10.2025 16:17:00";"BUY";"0,6776";"0,6782";"0,6776";"0,6780";"0,67750001";"0,677337468"
"";"27.10.2025 16:18:00";"NO SIGNAL";"0,6781";"0,6787";"0,6777";"0,6783";"0,677933395";"0,677474976"
"";"27.10.2025 16:19:00";"NO SIGNAL";"0,6784";"0,6789";"0,6777";"0,6777";"0,677999973";"0,677537441"
"";"27.10.2025 16:20:00";"NO SIGNAL";"0,6778";"0,6780";"0,6768";"0,6769";"0,677633286";"0,677487433"
"3";"27.10.2025 16:21:00";"SELL";"0,6769";"0,6777";"0,6767";"0,6773";"0,677299976";"0,67749995"
"";"27.10.2025 16:22:00";"NO SIGNAL";"0,6773";"0,6777";"0,6769";"0,6774";"0,677200019";"0,677512527"
"";"27.10.2025 16:23:00";"NO SIGNAL";"0,6773";"0,6774";"0,6769";"0,6770";"0,677233338";"0,677512527"
"";"27.10.2025 16:24:00";"NO SIGNAL";"0,6771";"0,6772";"0,6768";"0,6772";"0,677200019";"0,677474976"
"";"27.10.2025 16:25:00";"NO SIGNAL";"0,6771";"0,6771";"0,6762";"0,6770";"0,677066684";"0,677349985"
"";"27.10.2025 16:26:00";"NO SIGNAL";"0,6771";"0,6773";"0,6768";"0,6771";"0,677100062";"0,677200019"
"4";"27.10.2025 16:27:00";"BUY";"0,6772";"0,6779";"0,6770";"0,6774";"0,6771667";"0,677162528"
"";"27.10.2025 16:28:00";"NO SIGNAL";"0,6775";"0,6779";"0,6773";"0,6778";"0,677433372";"0,677275002"
"";"27.10.2025 16:29:00";"NO SIGNAL";"0,6778";"0,6778";"0,6773";"0,6776";"0,677600086";"0,677312553"
"";"27.10.2025 16:30:00";"NO SIGNAL";"0,6776";"0,6776";"0,6769";"0,6775";"0,677633405";"0,677324951"
"";"27.10.2025 16:31:00";"NO SIGNAL";"0,6774";"0,6780";"0,6772";"0,6774";"0,67750001";"0,677375019"
"";"27.10.2025 16:32:00";"NO SIGNAL";"0,6773";"0,6780";"0,6770";"0,6780";"0,677633286";"0,677474976"
"";"27.10.2025 16:33:00";"NO SIGNAL";"0,6780";"0,6789";"0,6778";"0,6786";"0,677999973";"0,677675068"
"";"27.10.2025 16:34:00";"NO SIGNAL";"0,6787";"0,6794";"0,6787";"0,6790";"0,678533316";"0,677912533"
"";"27.10.2025 16:35:00";"NO SIGNAL";"0,6791";"0,6800";"0,6788";"0,6793";"0,678966701";"0,678150058"
"";"27.10.2025 16:36:00";"NO SIGNAL";"0,6793";"0,6796";"0,6790";"0,6791";"0,679133356";"0,67831254"
"";"27.10.2025 16:37:00";"NO SIGNAL";"0,6792";"0,6807";"0,6790";"0,6806";"0,679666698";"0,678687572"
"";"27.10.2025 16:38:00";"NO SIGNAL";"0,6806";"0,6811";"0,6803";"0,6806";"0,680099964";"0,679075003"
"";"27.10.2025 16:39:00";"NO SIGNAL";"0,6806";"0,6818";"0,6806";"0,6814";"0,680866659";"0,679574966"
"";"27.10.2025 16:40:00";"NO SIGNAL";"0,6815";"0,6819";"0,6806";"0,6807";"0,680900037";"0,679912448"
"";"27.10.2025 16:41:00";"NO SIGNAL";"0,6807";"0,6817";"0,6805";"0,6813";"0,681133389";"0,680249929"
"";"27.10.2025 16:42:00";"NO SIGNAL";"0,6814";"0,6820";"0,6814";"0,6816";"0,681200027";"0,680575013"
"";"27.10.2025 16:43:00";"NO SIGNAL";"0,6816";"0,6816";"0,6802";"0,6804";"0,681100011";"0,680712521"
"5";"27.10.2025 16:44:00";"SELL";"0,6805";"0,6806";"0,6797";"0,6797";"0,680566669";"0,680787504"
"";"27.10.2025 16:45:00";"NO SIGNAL";"0,6797";"0,6802";"0,6791";"0,6799";"0,680000007";"0,680700004"
"";"27.10.2025 16:46:00";"NO SIGNAL";"0,6799";"0,6808";"0,6797";"0,6803";"0,679966629";"0,680662453"
"";"27.10.2025 16:47:00";"NO SIGNAL";"0,6802";"0,6804";"0,6797";"0,6799";"0,680033326";"0,680474997"
"";"27.10.2025 16:48:00";"NO SIGNAL";"0,6800";"0,6807";"0,6799";"0,6803";"0,680166662";"0,680424988"
"";"27.10.2025 16:49:00";"NO SIGNAL";"0,6803";"0,6808";"0,6799";"0,6802";"0,680133343";"0,68028748"
"6";"27.10.2025 16:50:00";"BUY";"0,6802";"0,6807";"0,6802";"0,6804";"0,680299997";"0,680137455"
"";"27.10.2025 16:51:00";"NO SIGNAL";"0,6804";"0,6813";"0,6804";"0,6811";"0,680566669";"0,680225015"
"";"27.10.2025 16:52:00";"NO SIGNAL";"0,6812";"0,6820";"0,6809";"0,6816";"0,681033313";"0,68046248"
"";"27.10.2025 16:53:00";"NO SIGNAL";"0,6815";"0,6823";"0,6813";"0,6823";"0,681666732";"0,680762529"
"";"27.10.2025 16:54:00";"NO SIGNAL";"0,6822";"0,6831";"0,6821";"0,6825";"0,682133377";"0,681037545"
"";"27.10.2025 16:55:00";"NO SIGNAL";"0,6826";"0,6834";"0,6824";"0,6824";"0,682399988";"0,681349993"
"";"27.10.2025 16:56:00";"NO SIGNAL";"0,6825";"0,6832";"0,6823";"0,6831";"0,682666659";"0,681699991"
"";"27.10.2025 16:57:00";"NO SIGNAL";"0,6831";"0,6839";"0,6830";"0,6836";"0,683033347";"0,682124972"
"";"27.10.2025 16:58:00";"NO SIGNAL";"0,6836";"0,6836";"0,6822";"0,6826";"0,683099985";"0,682399988"
"";"27.10.2025 16:59:00";"NO SIGNAL";"0,6826";"0,6831";"0,6825";"0,6829";"0,683033347";"0,682624996"
"7";"27.10.2025 17:00:00";"SELL";"0,6829";"0,6833";"0,6823";"0,6824";"0,68263334";"0,682725012"
"";"27.10.2025 17:01:00";"NO SIGNAL";"0,6824";"0,6828";"0,6818";"0,6820";"0,682433307";"0,682687402"
"";"27.10.2025 17:02:00";"NO SIGNAL";"0,6820";"0,6826";"0,6816";"0,6820";"0,682133377";"0,682624936"
"";"27.10.2025 17:03:00";"NO SIGNAL";"0,6820";"0,6820";"0,6813";"0,6815";"0,681833386";"0,682512522"
"";"27.10.2025 17:04:00";"NO SIGNAL";"0,6814";"0,6825";"0,6808";"0,6817";"0,68173331";"0,682337463"
"";"27.10.2025 17:05:00";"NO SIGNAL";"0,6817";"0,6821";"0,6813";"0,6814";"0,681533337";"0,682062447"
"";"27.10.2025 17:06:00";"NO SIGNAL";"0,6814";"0,6815";"0,6810";"0,6813";"0,681466699";"0,681899965"
"";"27.10.2025 17:07:00";"NO SIGNAL";"0,6813";"0,6826";"0,6808";"0,6820";"0,681566656";"0,681787491"
"8";"27.10.2025 17:08:00";"BUY";"0,6820";"0,6825";"0,6817";"0,6822";"0,681833386";"0,681762576"
"";"27.10.2025 17:09:00";"NO SIGNAL";"0,6823";"0,6826";"0,6820";"0,6820";"0,682066679";"0,681762516"
"";"27.10.2025 17:10:00";"NO SIGNAL";"0,6821";"0,6826";"0,6820";"0,6822";"0,682133377";"0,681787431"
"";"27.10.2025 17:11:00";"NO SIGNAL";"0,6823";"0,6834";"0,6822";"0,6833";"0,682500005";"0,682012439"
"";"27.10.2025 17:12:00";"NO SIGNAL";"0,6834";"0,6836";"0,6832";"0,6836";"0,683033347";"0,682249963"
"";"27.10.2025 17:13:00";"NO SIGNAL";"0,6837";"0,6841";"0,6833";"0,6839";"0,683600068";"0,68256253"
"";"27.10.2025 17:14:00";"NO SIGNAL";"0,6839";"0,6844";"0,6838";"0,6841";"0,68386668";"0,682912529"
"";"27.10.2025 17:15:00";"NO SIGNAL";"0,6841";"0,6841";"0,6829";"0,6830";"0,683666706";"0,683037519"
"";"27.10.2025 17:16:00";"NO SIGNAL";"0,6831";"0,6835";"0,6829";"0,6833";"0,683466673";"0,683175027"
"9";"27.10.2025 17:17:00";"SELL";"0,6833";"0,6838";"0,6831";"0,6838";"0,683366716";"0,683399975"
"10";"27.10.2025 17:18:00";"BUY";"0,6838";"0,6841";"0,6826";"0,6839";"0,683666706";"0,683612525"
"";"27.10.2025 17:19:00";"NO SIGNAL";"0,6838";"0,6843";"0,6836";"0,6842";"0,683966637";"0,683724999"
